date, pm25, pm10, o3, no2,region
2020/9/21, 36, 8, 19, 8,alpes-cote-dazur
2020/9/22, 19, 9, 43, 4,alpes-cote-dazur
2020/9/23, 17, 9, 24, 9,alpes-cote-dazur
2020/9/24, 23, 6, 27, 1,alpes-cote-dazur
2020/9/25, 10, 3, 27, 1,alpes-cote-dazur
2020/9/26, 3, 4, 31, 3,alpes-cote-dazur
2020/9/27, 8, 4, 28, 6,alpes-cote-dazur
2020/9/28, 7, 6, 28, 7,alpes-cote-dazur
2020/9/29, 12, 7, 31, 6,alpes-cote-dazur
2020/9/30, 16, 10, 33, 6,alpes-cote-dazur
2020/8/1, 49, 18, 39, 5,alpes-cote-dazur
2020/8/2, 51, 16, 42, 4,alpes-cote-dazur
2020/8/3, 38, 10, 36, 5,alpes-cote-dazur
2020/8/4, 16, 8, 42, 7,alpes-cote-dazur
2020/8/5, 12, 7, 46, 8,alpes-cote-dazur
2020/8/6, 12, 10, 54, 9,alpes-cote-dazur
2020/8/7, 21, 12, 56, 8,alpes-cote-dazur
2020/8/8, 33, 17, 58, 8,alpes-cote-dazur
2020/8/9, 46, 18, 43, 10,alpes-cote-dazur
2020/8/10, 47, 16, 41, 9,alpes-cote-dazur
2020/8/11, 45, 15, 39, 8,alpes-cote-dazur
2020/8/12, 41, 15, 39, 9,alpes-cote-dazur
2020/8/13, 42, 18, 40, 7,alpes-cote-dazur
2020/8/14, 52, 18, 42, 4,alpes-cote-dazur
2020/8/15, 49, 15, 40, 3,alpes-cote-dazur
2020/8/16, 41, 14, 37, 4,alpes-cote-dazur
2020/8/17, 37, 11, 40, 7,alpes-cote-dazur
2020/8/18, 25, 12, 38, 4,alpes-cote-dazur
2020/8/19, 28, 11, 37, 6,alpes-cote-dazur
2020/8/20, 27, 11, 36, 8,alpes-cote-dazur
2020/8/21, 28, 10, 43, 7,alpes-cote-dazur
2020/8/22, 26, 11, 41, 4,alpes-cote-dazur
2020/8/23, 29, 12, 40, 6,alpes-cote-dazur
2020/8/24, 32, 12, 43, 6,alpes-cote-dazur
2020/8/25, 31, 12, 42, 6,alpes-cote-dazur
2020/8/26, 32, 13, 36, 7,alpes-cote-dazur
2020/8/27, 36, 13, 39, 8,alpes-cote-dazur
2020/8/28, 35, 11, 27, 6,alpes-cote-dazur
2020/8/29, 31, 7, 28, 2,alpes-cote-dazur
2020/8/30, 15, 6, 28, 6,alpes-cote-dazur
2020/8/31, 11, 6, 37, 5,alpes-cote-dazur
2020/7/1, 39, 11, 31, 4,alpes-cote-dazur
2020/7/2, 32, 12, 35, 7,alpes-cote-dazur
2020/7/3, 34, 10, 46, 4,alpes-cote-dazur
2020/7/4, 21, 9, 44, 5,alpes-cote-dazur
2020/7/5, 22, 10, 35, 7,alpes-cote-dazur
2020/7/6, 26, 13, 42, 3,alpes-cote-dazur
2020/7/7, 27, 12, 46, 6,alpes-cote-dazur
2020/7/8, 27, 12, 50, 6,alpes-cote-dazur
2020/7/9, 29, 13, 45, 7,alpes-cote-dazur
2020/7/10, 31, 13, 44, 3,alpes-cote-dazur
2020/7/11, 35, 16, 42, 3,alpes-cote-dazur
2020/7/12, 42, 10, 38, 5,alpes-cote-dazur
2020/7/13, 24, 9, 41, 4,alpes-cote-dazur
2020/7/14, 23, 10, 46, 5,alpes-cote-dazur
2020/7/15, 24, 12, 45, 5,alpes-cote-dazur
2020/7/16, 32, 14, 37, 6,alpes-cote-dazur
2020/7/17, 35, 13, 39, 5,alpes-cote-dazur
2020/7/18, 36, 13, 38, 3,alpes-cote-dazur
2020/7/19, 40, 11, 40, 4,alpes-cote-dazur
2020/7/20, 27, 11, 32, 4,alpes-cote-dazur
2020/7/21, 31, 11, 36, 5,alpes-cote-dazur
2020/7/22, 34, 12, 33, 4,alpes-cote-dazur
2020/7/23, 34, 15, 40, 5,alpes-cote-dazur
2020/7/24, 37, 8, 43, 6,alpes-cote-dazur
2020/7/25, 17, 12, 42, 5,alpes-cote-dazur
2020/7/26, 31, 14, 38, 5,alpes-cote-dazur
2020/7/27, 36, 15, 35, 6,alpes-cote-dazur
2020/7/28, 41, 13, 33, 5,alpes-cote-dazur
2020/7/29, 32, 13, 34, 6,alpes-cote-dazur
2020/7/30, 35, 18, 32, 6,alpes-cote-dazur
2020/7/31, 51, 17, 41, 7,alpes-cote-dazur
2020/6/1, 25, 12, 41, 7,alpes-cote-dazur
2020/6/2, 34, 10, 34, 4,alpes-cote-dazur
2020/6/3, 28, 6, 27, 6,alpes-cote-dazur
2020/6/4, 16, 8, 35, 5,alpes-cote-dazur
2020/6/5, 18, 7, 30, 5,alpes-cote-dazur
2020/6/6, 18, 7, 28, 3,alpes-cote-dazur
2020/6/7, 20, 8, 33, 5,alpes-cote-dazur
2020/6/8, 21, 8, 29, 4,alpes-cote-dazur
2020/6/9, 19, 6, 30, 6,alpes-cote-dazur
2020/6/10, 15, 8, 37, 5,alpes-cote-dazur
2020/6/11, 22, 9, 38, 3,alpes-cote-dazur
2020/6/12, 21, 9, 35, 2,alpes-cote-dazur
2020/6/13, 22, 6, 28, 3,alpes-cote-dazur
2020/6/14, 13, 6, 32, 4,alpes-cote-dazur
