date, pm25, pm10, o3, no2,region
2020/7/9, 13, , 33, ,normandie
2020/7/10, 15, , 33, 2,normandie
2020/7/11, 16, , 35, 2,normandie
2020/7/12, 18, , 45, 1,normandie
2020/7/13, 23, , 24, 3,normandie
2020/7/14, 19, , 28, 1,normandie
2020/7/15, 23, , 24, 1,normandie
2020/7/16, 23, , 31, 2,normandie
2020/7/17, 33, , 27, 1,normandie
2020/7/18, 29, , 30, 2,normandie
2020/7/19, 33, , 34, ,normandie
2020/7/20, 25, , 41, 2,normandie
2020/7/21, 22, , 35, 2,normandie
2020/7/22, 17, , 46, 3,normandie
2020/7/23, 27, , 29, 1,normandie
2020/7/24, 22, , 18, 1,normandie
2020/7/25, 15, , 23, ,normandie
2020/7/26, 20, , 27, 2,normandie
2020/7/27, 18, , 25, ,normandie
2020/7/28, 25, , 37, 2,normandie
2020/7/29, 27, , 54, 3,normandie
2020/7/30, 26, , 60, 4,normandie
2020/7/31, 35, , 25, 1,normandie
2020/6/1, 17, , 56, 5,normandie
2020/6/2, 27, , 52, 5,normandie
2020/6/3, 31, , 36, ,normandie
2020/6/4, 20, , 31, ,normandie
2020/6/5, 14, , 31, ,normandie
2020/6/6, 14, , 31, ,normandie
2020/6/7, 12, , 30, 2,normandie
2020/6/8, 14, , 36, 2,normandie
2020/6/9, 15, , 29, 3,normandie
2020/6/10, 19, , 40, 2,normandie
2020/6/11, 19, , 30, 1,normandie
2020/6/12, 21, , 32, 1,normandie
2020/6/13, 9, , 33, 1,normandie
2020/6/14, 10, , 28, 2,normandie
2020/6/15, 12, , 29, 1,normandie
2020/6/16, 11, , 32, 2,normandie
2020/6/17, 11, , 27, 1,normandie
2020/6/18, 13, , 27, 1,normandie
2020/6/19, 11, , 27, 1,normandie
2020/6/20, 9, , 26, 2,normandie
2020/6/21, 16, , 36, 1,normandie
2020/6/22, 22, , 42, 2,normandie
2020/6/23, 21, , 64, 3,normandie
2020/6/24, 29, , 66, 4,normandie
2020/6/25, 31, , 50, 3,normandie
2020/6/26, 50, , 26, 1,normandie
2020/6/27, 28, , 31, ,normandie
2020/6/28, 21, , 28, ,normandie
2020/6/29, 20, , 19, 1,normandie
2020/6/30, 13, , 23, 1,normandie
2020/5/1, 12, , 38, ,normandie
2020/5/2, 15, , 24, 2,normandie
2020/5/3, 17, , 31, 1,normandie
2020/5/4, 23, , 29, 2,normandie
2020/5/5, 49, , 42, 2,normandie
2020/5/6, 29, , 51, 3,normandie
2020/5/7, 27, , 54, 3,normandie
2020/5/8, 40, , 49, 4,normandie
2020/5/9, 57, , 33, 1,normandie
2020/5/10, 32, , 32, ,normandie
2020/5/11, 92, , 36, ,normandie
2020/5/12, 14, , 35, 2,normandie
2020/5/13, 12, , 33, 1,normandie
2020/5/14, 13, , 42, 1,normandie
2020/5/15, 17, , 42, 2,normandie
2020/5/16, 22, , 43, 3,normandie
2020/5/17, 36, , 38, 2,normandie
2020/5/18, 18, , 36, 2,normandie
2020/5/19, 26, , 52, 3,normandie
2020/5/20, 16, , 56, 3,normandie
2020/5/21, 25, , 30, 2,normandie
2020/5/22, 18, , 32, 1,normandie
2020/5/23, 19, , 32, ,normandie
2020/5/24, 15, , 39, 2,normandie
2020/5/25, 19, , 44, 4,normandie
2020/5/26, 19, , 43, 3,normandie
2020/5/27, 15, , 42, 1,normandie
2020/5/28, 18, , 46, 2,normandie
2020/5/29, 19, , 61, 2,normandie
2020/5/30, 27, , 43, 4,normandie
2020/5/31, 22, , 48, 2,normandie
2020/4/1, 54, , 35, 3,normandie
2020/4/2, 58, , 31, 3,normandie
2020/4/3, 25, , 38, 2,normandie
2020/4/4, 31, , 40, 2,normandie
2020/4/5, 25, , 35, 2,normandie
2020/4/6, 16, , 37, 3,normandie
2020/4/7, 17, , 50, 4,normandie
2020/4/8, 42, , 52, 5,normandie
2020/4/9, 58, , 58, 3,normandie
2020/4/10, 67, , 53, 3,normandie
2020/4/11, 48, , 52, 3,normandie
2020/4/12, 50, , 34, 1,normandie
2020/4/13, 48, , 37, 1,normandie
2020/4/14, 37, , 42, 2,normandie
2020/4/15, 54, , 41, 4,normandie
2020/4/16, 45, , 32, 3,normandie
2020/4/17, 53, , 36, 4,normandie
2020/4/18, 70, , 38, 2,normandie
2020/4/19, 71, , 40, 2,normandie
2020/4/20, 62, , 40, 2,normandie
2020/4/21, 33, , 43, 4,normandie
2020/4/22, 56, , 57, 4,normandie
2020/4/23, 59, , 60, 4,normandie
2020/4/24, 62, , 39, 2,normandie
2020/4/25, 49, , 41, 1,normandie
2020/4/26, 39, , 44, 3,normandie
2020/4/27, 36, , 32, ,normandie
2020/4/28, 25, , 30, ,normandie
2020/4/29, 18, , 32, ,normandie
2020/4/30, 15, , 35, ,normandie
2020/3/1, 25, , 33, 1,normandie
2020/3/2, 16, , 34, 2,normandie
2020/3/3, 26, , 27, 3,normandie
2020/3/4, 28, , 30, 3,normandie
2020/3/5, 20, , 35, 3,normandie
2020/3/6, 35, , 29, 3,normandie
2020/3/7, 47, , 34, 1,normandie
2020/3/8, 25, , 32, 1,normandie
2020/3/9, 27, , 29, 1,normandie
2020/3/10, 11, , 29, ,normandie
2020/3/11, 13, , 34, 1,normandie
2020/3/12, 19, , 31, 2,normandie
2020/3/13, 30, , 29, 2,normandie
2020/3/14, 22, , 32, 1,normandie
2020/3/15, 24, , 27, 4,normandie
2020/3/16, 27, , 32, 4,normandie
2020/3/17, 40, , 35, 3,normandie
2020/3/18, 70, , 32, 2,normandie
2020/3/19, 51, , 22, 3,normandie
2020/3/20, 69, , 24, 1,normandie
2020/3/21, 20, , 31, ,normandie
2020/3/22, 25, , 33, 1,normandie
2020/3/23, 34, , 34, 3,normandie
2020/3/24, 46, , 36, 2,normandie
2020/3/25, 43, , 38, 3,normandie
2020/3/26, 68, , 39, 4,normandie
2020/3/27, 84, , 40, 2,normandie
2020/3/28, 98, , 36, ,normandie
2020/3/29, 19, , 34, ,normandie
2020/3/30, 13, , 35, 1,normandie
2020/3/31, 21, , 36, 3,normandie
2020/2/1, 16, , 28, 2,normandie
2020/2/2, 21, , 31, 2,normandie
2020/2/3, 16, , 33, ,normandie
2020/2/4, 26, 47, 27, 6,normandie
2020/2/5, 29, , 23, 7,normandie
2020/2/6, 53, , 24, 5,normandie
2020/2/7, 49, , 26, 1,normandie
2020/2/8, 39, , 31, ,normandie
2020/2/9, 104, , 33, 1,normandie
2020/2/10, 41, , 33, 1,normandie
2020/2/11, 24, , 32, 1,normandie
2020/2/12, 21, , 35, ,normandie
2020/2/13, 24, , 30, 2,normandie
2020/2/14, 40, , 28, 1,normandie
2020/2/15, 23, , 32, ,normandie
2020/2/16, 60, , 33, ,normandie
2020/2/17, 18, , 32, 1,normandie
2020/2/18, 18, , 32, 1,normandie
2020/2/19, 23, , 34, ,normandie
2020/2/20, 17, , 31, 1,normandie
2020/2/21, 29, , 28, ,normandie
2020/2/22, 21, , 27, 1,normandie
2020/2/23, 12, , 27, ,normandie
2020/2/24, 10, , 35, 1,normandie
2020/2/25, 17, , 34, 1,normandie
2020/2/26, 21, , 30, 1,normandie
2020/2/27, 21, , 25, 3,normandie
2020/2/28, 38, , 34, ,normandie
2020/2/29, 36, , 32, 1,normandie
2020/1/1, 59, , 17, 6,normandie
2020/1/2, 44, , 28, 2,normandie
2020/1/3, 18, , 25, 6,normandie
2020/1/4, 36, , 25, 3,normandie
2020/1/5, 27, , 23, 5,normandie
2020/1/6, 37, , 22, 3,normandie
2020/1/7, 31, , 24, 2,normandie
2020/1/8, 20, , 26, 1,normandie
2020/1/9, 15, , 29, 2,normandie
