date, pm25, pm10, o3, no2,region
2020/8/17, 31, 6, 31, 8,occitanie
2020/8/18, 22, 11, 20, 11,occitanie
2020/8/19, 26, 18, , 10,occitanie
2020/8/20, 37, 17, 35, 10,occitanie
2020/8/21, 34, , 22, ,occitanie
2020/8/24, 11, 13, 39, 12,occitanie
2020/8/25, 26, 14, 29, 11,occitanie
2020/8/26, 36, 12, 35, 11,occitanie
2020/8/27, 18, 12, 24, 9,occitanie
2020/8/28, 16, 7, 20, 2,occitanie
2020/8/29, 11, 7, 26, 3,occitanie
2020/8/30, 21, 6, 29, 6,occitanie
2020/8/31, 18, 7, 34, 12,occitanie
2020/7/1, 11, 3, 31, 10,occitanie
2020/7/2, 8, 3, 32, 2,occitanie
2020/7/3, 11, 8, 32, 4,occitanie
2020/7/4, 15, 6, 22, 4,occitanie
2020/7/5, 21, 8, 28, 1,occitanie
2020/7/6, 11, 12, 37, 8,occitanie
2020/7/7, 20, 19, 39, 13,occitanie
2020/7/8, 37, 20, 46, 13,occitanie
2020/7/9, 33, 24, 44, 12,occitanie
2020/7/10, 52, 14, 33, 5,occitanie
2020/7/11, 40, 14, , ,occitanie
2020/7/13, 45, 12, 44, 7,occitanie
2020/7/14, 30, 14, 37, 3,occitanie
2020/7/15, 32, 7, 24, 3,occitanie
2020/7/16, 18, 10, 26, 4,occitanie
2020/7/17, 13, 6, 38, 6,occitanie
2020/7/18, 17, 12, 50, 11,occitanie
2020/7/19, 33, 21, 34, 13,occitanie
2020/7/20, 48, 21, 31, 9,occitanie
2020/7/21, 46, 17, 30, 11,occitanie
2020/7/22, 37, 21, 42, 13,occitanie
2020/7/23, 46, 14, 42, 7,occitanie
2020/7/24, 47, 12, 43, 6,occitanie
2020/7/25, 28, 17, 33, 11,occitanie
2020/7/26, 49, 13, 37, 10,occitanie
2020/7/27, 26, 21, 33, 11,occitanie
2020/7/28, 41, 17, 38, 10,occitanie
2020/7/29, 38, 22, 42, 14,occitanie
2020/7/30, 47, 19, 39, 15,occitanie
2020/7/31, 44, 20, 53, 12,occitanie
2020/6/1, 27, 9, 39, 9,occitanie
2020/6/2, 20, 11, 37, 9,occitanie
2020/6/3, 16, 3, 18, 4,occitanie
2020/6/4, 35, 4, , 2,occitanie
2020/6/5, 18, 4, , 4,occitanie
2020/6/6, 18, 5, , 1,occitanie
2020/6/7, 10, 3, , 2,occitanie
2020/6/8, 17, 4, 32, 4,occitanie
2020/6/9, 9, 5, 33, 3,occitanie
2020/6/10, 24, 9, 36, 10,occitanie
2020/6/11, 8, 36, 34, 6,occitanie
2020/6/12, 43, 36, 31, 7,occitanie
2020/6/13, 56, 7, 34, 3,occitanie
2020/6/14, 28, 6, 32, 2,occitanie
2020/6/15, 14, 7, 31, 6,occitanie
2020/6/16, 19, 6, 32, 2,occitanie
2020/6/17, 17, 7, 31, 6,occitanie
2020/6/18, 10, 8, 34, 6,occitanie
2020/6/19, 17, 5, 31, 3,occitanie
2020/6/20, 17, 7, 30, 2,occitanie
2020/6/21, 20, 7, 29, 4,occitanie
2020/6/22, 14, 11, 51, 11,occitanie
2020/6/23, 19, 16, 32, 12,occitanie
2020/6/24, 37, 14, 35, 13,occitanie
2020/6/25, 36, 12, 41, 10,occitanie
2020/6/26, 32, 14, 34, 7,occitanie
2020/6/27, 38, 13, 35, 8,occitanie
2020/6/28, 43, 8, 27, 2,occitanie
2020/6/29, 21, 8, 36, 9,occitanie
2020/6/30, 17, 6, 28, 8,occitanie
2020/5/1, 13, 5, 30, ,occitanie
2020/5/2, 11, 4, 26, ,occitanie
2020/5/3, 16, 12, 36, 7,occitanie
2020/5/4, 22, 12, 30, 4,occitanie
2020/5/5, 25, 8, 38, 5,occitanie
2020/5/6, 28, 11, 44, 5,occitanie
2020/5/7, 22, 12, 50, 3,occitanie
2020/5/8, 24, 16, 47, 4,occitanie
2020/5/9, 23, 32, 44, 3,occitanie
2020/5/10, 37, 13, 36, 7,occitanie
2020/5/11, 16, 7, 28, 6,occitanie
2020/5/12, 16, 11, 29, 7,occitanie
2020/5/13, 18, 9, 30, 8,occitanie
2020/5/14, 18, 14, 30, 7,occitanie
2020/5/15, 31, 9, 31, 7,occitanie
2020/5/16, 24, 9, 46, 4,occitanie
2020/5/17, 31, 12, 48, 10,occitanie
2020/5/18, 34, 10, 49, 5,occitanie
2020/5/19, 30, 11, 42, 6,occitanie
2020/5/20, 26, 12, 47, 7,occitanie
2020/5/21, 37, 18, 44, 10,occitanie
2020/5/22, 46, 14, 34, 4,occitanie
2020/5/23, 46, 6, 33, 2,occitanie
2020/5/24, 19, 16, 45, 6,occitanie
2020/5/25, 24, 13, 39, 9,occitanie
2020/5/26, 22, 20, 43, 11,occitanie
2020/5/27, 34, 17, 37, 9,occitanie
2020/5/28, 29, 14, 45, 10,occitanie
2020/5/29, 29, 11, 45, 7,occitanie
2020/5/30, 33, 11, 41, 5,occitanie
2020/5/31, 29, 9, 40, 6,occitanie
2020/4/1, 34, 17, 46, 6,occitanie
2020/4/2, 47, 14, 44, 8,occitanie
2020/4/3, 50, 14, 41, 6,occitanie
2020/4/4, 49, 15, 58, 3,occitanie
2020/4/5, 59, 18, 54, 5,occitanie
2020/4/6, 57, 23, 62, 10,occitanie
2020/4/7, 68, 24, 59, 7,occitanie
2020/4/8, 71, 19, 54, 8,occitanie
2020/4/9, 57, 21, 47, 7,occitanie
2020/4/10, 57, 16, 57, 3,occitanie
2020/4/11, 54, 16, 50, 2,occitanie
2020/4/12, 56, 15, 40, 3,occitanie
2020/4/13, 42, 17, 43, 5,occitanie
2020/4/14, 63, 18, 43, 4,occitanie
2020/4/15, 34, 21, 46, 6,occitanie
2020/4/16, 37, 19, 40, 6,occitanie
2020/4/17, 31, 24, 40, 3,occitanie
2020/4/18, 41, 19, 31, 2,occitanie
2020/4/19, 41, 10, 27, 4,occitanie
2020/4/20, 35, 6, 27, 8,occitanie
2020/4/21, 17, 6, 32, 4,occitanie
2020/4/22, 19, 9, 26, 3,occitanie
2020/4/23, 30, 9, 36, 4,occitanie
2020/4/24, 34, 12, 45, 3,occitanie
2020/4/25, 37, 9, 33, 2,occitanie
2020/4/26, 33, 13, 34, 5,occitanie
2020/4/27, 26, 9, 39, 3,occitanie
2020/4/28, 16, 8, 39, 2,occitanie
2020/4/29, 11, 17, 36, 3,occitanie
2020/4/30, 25, 7, 27, 2,occitanie
