date, pm25, pm10, o3, no2,region
2020/7/4, 19, 9, 31, 8,paca
2020/7/5, 17, 26, 35, 7,paca
2020/7/6, 24, 19, 40, 8,paca
2020/7/7, 26, 22, 51, 17,paca
2020/7/8, 35, 16, 41, 12,paca
2020/7/9, 29, 18, 37, 10,paca
2020/7/10, 38, 19, 36, 9,paca
2020/7/11, 31, 14, 42, 6,paca
2020/7/12, 33, 15, 45, 6,paca
2020/7/13, 39, 14, 46, 7,paca
2020/7/14, 31, 27, 33, 12,paca
2020/7/15, 50, 15, 30, 6,paca
2020/7/16, 24, 16, 25, 6,paca
2020/7/17, 18, 14, 34, 8,paca
2020/7/18, 27, 11, 37, 7,paca
2020/7/19, 30, 71, 28, 7,paca
2020/7/20, 74, 98, 21, 8,paca
2020/7/21, 58, 21, 29, 13,paca
2020/7/22, 40, 28, 36, 15,paca
2020/7/23, 52, 36, 40, 13,paca
2020/7/24, 48, 19, 42, 14,paca
2020/7/25, 35, 16, 35, 8,paca
2020/7/26, 35, 14, 30, 8,paca
2020/7/27, 31, 16, 27, 9,paca
2020/7/28, 34, 22, 48, 14,paca
2020/7/29, 48, 24, 37, 16,paca
2020/7/30, 55, 66, 32, 17,paca
2020/7/31, 63, 22, 44, 13,paca
2020/6/1, 19, 11, 42, 9,paca
2020/6/2, 24, 11, 36, 4,paca
2020/6/3, 27, 11, 33, 5,paca
2020/6/4, 30, 9, 26, 8,paca
2020/6/5, 18, 7, 26, 6,paca
2020/6/6, 16, 6, 22, 4,paca
2020/6/7, 15, 9, 31, 5,paca
2020/6/8, 16, 8, 30, 4,paca
2020/6/9, 11, 10, 33, 5,paca
2020/6/10, 20, 12, 36, 7,paca
2020/6/11, 27, 16, 36, 1,paca
2020/6/12, 25, 11, 31, 4,paca
2020/6/13, 27, 9, 29, 10,paca
2020/6/14, 20, 9, 35, 7,paca
2020/6/15, 16, 12, 29, 6,paca
2020/6/16, 23, 11, 29, 5,paca
2020/6/17, 19, 10, 29, 8,paca
2020/6/18, 16, 12, 33, 8,paca
2020/6/19, 19, 10, 31, 7,paca
2020/6/20, 17, 13, 31, 6,paca
2020/6/21, 16, 14, 27, 7,paca
2020/6/22, 20, 15, 35, 11,paca
2020/6/23, 24, 13, 45, 13,paca
2020/6/24, 26, 11, 33, 13,paca
2020/6/25, 23, 11, 38, 7,paca
2020/6/26, 19, 11, 35, 5,paca
2020/6/27, 27, 11, 34, 9,paca
2020/6/28, 29, 19, 19, 10,paca
2020/6/29, 37, 14, 35, 7,paca
2020/6/30, 20, 14, 26, 6,paca
2020/5/1, 16, 8, 24, 3,paca
2020/5/2, 13, 5, 24, 4,paca
2020/5/3, 8, 7, 29, 4,paca
2020/5/4, 14, 8, 22, 3,paca
2020/5/5, 20, 18, 34, 5,paca
2020/5/6, 33, 11, 43, 4,paca
2020/5/7, 25, 10, 46, 3,paca
2020/5/8, 24, 11, 39, 3,paca
2020/5/9, 29, 9, 34, 1,paca
2020/5/10, 27, 6, 29, 4,paca
2020/5/11, 14, 8, 28, 6,paca
2020/5/12, 15, 15, 31, 5,paca
2020/5/13, 30, 12, 25, 5,paca
2020/5/14, 32, 12, 29, 5,paca
2020/5/15, 32, 14, 31, 5,paca
2020/5/16, 42, 12, 22, 5,paca
2020/5/17, 35, 16, 33, 9,paca
2020/5/18, 34, 20, 44, 11,paca
2020/5/19, 43, 18, 50, 10,paca
2020/5/20, 39, 13, 42, 7,paca
2020/5/21, 32, 14, 41, 10,paca
2020/5/22, 34, 13, 37, 5,paca
2020/5/23, 31, 8, 29, 3,paca
2020/5/24, 12, 12, 48, 7,paca
2020/5/25, 23, 15, 46, 11,paca
2020/5/26, 31, 13, 36, 7,paca
2020/5/27, 22, 13, 36, 9,paca
2020/5/28, 24, 14, 41, 5,paca
2020/5/29, 24, 8, 46, 3,paca
2020/5/30, 17, 9, 45, 4,paca
2020/5/31, 23, 8, 43, 4,paca
2020/4/1, 24, 13, 42, 4,paca
2020/4/2, 42, 22, 45, 9,paca
2020/4/3, 61, 20, 46, 8,paca
2020/4/4, 59, 18, 48, 4,paca
2020/4/5, 55, 22, 49, 8,paca
2020/4/6, 58, 25, 50, 8,paca
2020/4/7, 65, 25, 52, 6,paca
2020/4/8, 64, 25, 54, 10,paca
2020/4/9, 64, 21, 53, 7,paca
2020/4/10, 59, 17, 51, 4,paca
2020/4/11, 53, 17, 47, 2,paca
2020/4/12, 51, 18, 46, 1,paca
2020/4/13, 54, 25, 44, 7,paca
2020/4/14, 65, 21, 39, 3,paca
2020/4/15, 49, 15, 42, 2,paca
2020/4/16, 32, 13, 38, 3,paca
2020/4/17, 30, 19, 34, 3,paca
2020/4/18, 45, 14, 22, 6,paca
2020/4/19, 40, 9, 17, 12,paca
2020/4/20, 29, 6, 18, 8,paca
